Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance
3215556	2083371	499	99	1	3.0
3719535	856185	340	32	35	2.0
1970133	901352	77	13	2	3.0
1545237	2457799	14327	381	1	2.0
4308804	2720925	53	4	3	3.0
1457971	3701296	83	39	2	3.0
4172823	1469446	48	4	1	5.0
25590	80526	105	11	4	3.0
4025713	2257471	47	17	4	3.0
141067	121112	2002	432	1	2.0
2630708	4544273	336	317	1	3.0
4777460	2015912	19	7	1	4.0
3735080	1972203	410	11	1	4.0
2745133	2117463	2347	85	1	3.0
2134566	2366794	26	49	26	3.0
3812950	4801275	13	2	1	4.0
1953550	4339838	65	3	8	3.0
4406687	1498893	1022	44	1	3.0
1024246	2850019	1084	52	1	3.0
1774441	2051450	1305	65	4	2.0
2749963	3431060	41	11	1	4.0
2434218	3561044	243	70	1	3.0
3914634	2548413	19	3	2	3.0
478756	4850569	43	7	2	4.0
3086653	1355979	520	36	2	3.0
3814408	1820733	9	7	1	4.0
2736770	2302425	1047	55	6	2.0
3178308	966327	23	1	2	3.0
4645876	2948931	31	29	1	4.0
2093076	4651968	107	37	1	3.0
1827064	2535500	119	19	2	3.0
4196056	3554640	1892	152	1	2.0
2997653	4420785	117	28	1	3.0
4697928	1297071	288	73	2	3.0
3615916	3605398	162	61	1	4.0
1251442	4814468	97	72	15	3.0
284040	4043920	427	34	7	3.0
3058232	4687622	1409	20	1	3.0
480626	1982576	125	39	1	3.0
4745784	1016060	1839	49	13	3.0
4346129	1411676	168	48	1	4.0
2030365	3602635	1124	171	1	3.0
2305014	3305995	606	10	12	3.0
4806322	2954951	727	12	1	3.0
4760492	1150778	0	111	3	inf
2591915	3570543	19	5	3	4.0
322254	4631056	37	8	5	3.0
2755456	481722	136	15	2	3.0
2979588	2781613	166	51	1	3.0
1099721	2534988	2	6	16	4.0
4308804	4666595	53	4	2	3.0
2261528	3022016	186	6	1	2.0
2314038	3721593	16349	456	1	2.0
1419515	836829	139	72	1	4.0
4778950	1096281	174	12	1	3.0
1163928	1343922	254	96	1	4.0
927008	1913978	64	6	1	3.0
285212	2893368	170	204	6	3.0
4653270	64767	29	4	1	4.0
469051	3140264	282	49	1	3.0
173038	3337444	147	77	1	3.0
2757448	1458646	1	2	3	4.0
3875686	1219088	131	43	3	2.0
4349873	3760694	92	62	4	2.0
4773965	4632017	357	22	2	2.0
4537248	2940116	53	10	1	3.0
4544716	4461483	60	8	1	4.0
3255749	4239994	501	9	3	3.0
3522015	326520	919	88	2	3.0
2557868	3554145	130	9	2	3.0
2142759	3572171	1936	157	1	3.0
3916621	2006619	399	41	2	3.0
2200632	3518887	15	7	1	4.0
2573848	4768634	96	29	1	3.0
2958752	2352767	935	78	1	3.0
1423591	4451389	160	11	1	3.0
578514	4130142	83	1	3	3.0
286448	1397634	91	6	1	4.0
4553033	3355372	1503	128	71	2.0
2053114	50424	752	40	1	4.0
3995855	32762	662	91	1	3.0
3200905	1876535	86	36	46	3.0
989880	2691044	573	53	2	2.0
4020376	818168	528	55	6	3.0
2814096	3614418	106	48	1	3.0
3965826	1049626	30	13	1	4.0
272929	3634128	589	157	5	3.0
161534	4027963	243	32	2	3.0
3242976	1937743	161	63	1	4.0
4533803	587914	48	8	1	3.0
1080032	2401999	27	4	1	3.0
1943564	2055894	15	4	1	inf
3736462	2731324	171	57	4	3.0
448517	1052596	12450	625	4	2.0
854637	2723062	209	20	1	3.0
4844108	3166307	42	12	1	4.0
1330709	496521	173	21	3	3.0
2884705	243487	10233	649	1	3.0
869591	2672002	39	8	4	3.0
2880858	3640377	23	1	1	4.0
2797039	3539085	97	5	1	4.0
2391232	110197	172	9	1	5.0
1476977	3825477	1993	178	1	3.0
1918125	547966	1638	87	6	3.0
2147720	4380097	78791	1608	1	2.0
188027	3686637	112	33	1	3.0
3288730	1105112	4628	117	3	3.0
3877282	2479343	1097	154	2	3.0
1947855	3104554	301	87	60	3.0
2718230	3351995	2462	417	1	3.0
3800676	4326535	168	35	1	3.0
401344	2951005	216	40	1	2.0
2115198	1124193	326	82	1	3.0
4828134	124788	115	221	1	4.0
3563963	3326562	319	378	1	3.0
1341140	2390107	532	77	4	3.0
141651	1758430	8	2	16	3.0
324108	3964011	618	113	1	3.0
3431128	263558	44	118	1	4.0
1074359	3602366	271	15	20	3.0
3551313	1801523	470	452	2	3.0
3815582	1556785	162	67	1	3.0
825327	4819770	102	5	42	3.0
685003	1585934	88	29	1	2.0
720158	4047220	320	475	5	3.0
2629035	2241706	181	173	6	3.0
4682648	3537506	252	72	1	4.0
198215	1538035	34	7	1	4.0
3349005	3856465	107	6	1	4.0
873433	1293523	195	9	1	4.0
4077562	4028299	2723	433	4	3.0
3170292	2313559	651	75	1	3.0
2348035	3715448	199	54	1	3.0
4799011	3604257	6	38	1	4.0
1288396	3942834	375	55	2	3.0
906736	484797	3	11	1	4.0
4297498	1411188	1240	55	1	3.0
3264222	3498332	50	11	9	3.0
3808473	3567517	60	13	1	3.0
4099597	4739944	53	8	1	3.0
1673877	4220122	528	160	1	3.0
3016810	3094494	4330	164	2	3.0
2652639	2039045	967	360	2	3.0
3518115	3233323	0	2	1	inf
967833	2369371	380	178	1	3.0
1469892	4219977	49	12	1	4.0
2990432	2109	44	59	1	3.0
1062971	3646797	95	43	1	3.0
3237295	3700614	119	57	1	2.0
3396408	1016268	2302	118	1	3.0
1406736	583450	1820	296	1	3.0
2323776	1647641	26	23	1	4.0
199188	3770509	54	55	1	3.0
4456233	2076617	105	7	1	4.0
3124898	3270828	71	16	1	3.0
3603670	3026817	135	39	1	3.0
3418229	31523	1275	280	5	2.0
579196	1702460	110	262	4	3.0
725676	642807	49	9	1	3.0
1510938	2148665	395	469	1	3.0
4293257	453562	255	29	1	4.0
2529518	1781507	85	1	1	3.0
458350	3024729	1388	242	2	3.0
694702	4289114	96	45	1	3.0
2969895	3988249	734	103	1	3.0
3034977	4207856	17	5	3	4.0
3823284	4409289	1	3	1	inf
2277070	2021974	4932	751	1	3.0
4857910	4649664	43	63	2	3.0
3964688	245648	50	6	1	5.0
771447	3481636	209	409	2	3.0
3210349	3205819	3372	46	1	3.0
301061	1304862	63	11	1	4.0
4653850	2442852	713	432	5	2.0
4099597	4359393	53	8	1	4.0
41598	3940179	107	37	1	3.0
3689767	1020662	48	20	1	4.0
3139725	3105224	61	58	1	4.0
1582404	3896235	547	255	1	3.0
98419	2295450	370	75	1	3.0
3341107	1854452	34	4	1	3.0
4537890	4734708	214	97	43	3.0
1836086	1286742	100	21	1	3.0
1639033	1796513	138	120	1	4.0
1942345	2928767	99	2	9	3.0
4623798	511729	48	30	1	3.0
180302	4233898	1997	26	1	3.0
1289725	3612684	46	11	1	3.0
1836275	2991452	673	143	3	3.0
1190415	612559	719	54	2	3.0
2012584	338791	97	7	8	3.0
892942	1013354	78	7	1	3.0
2548009	3226177	408	251	2	3.0
731666	24476	63	29	1	4.0
3877636	3032494	2053	393	3	2.0
1173664	3456367	82	12	4	3.0
409590	3547232	925	147	1	3.0
1085350	1046983	70	8	1	4.0
4473441	3163468	605	150	1	3.0
3860678	194757	183	56	3	3.0
911080	2522357	166	20	38	2.0
2508448	3288862	74	7	11	3.0
700684	3552769	93	7	1	3.0
731863	4167466	327	70	4	3.0
4448612	3240244	270	11	1	3.0
1483480	2188158	410	40	6	3.0
4210063	3492151	575	68	1	3.0
3235182	3895646	13	7	1	3.0
2526256	4080296	852	59	1	2.0
4277687	676606	29	4	3	3.0
2349357	3468932	53	32	1	3.0
823867	4517249	1636	59	1	3.0
98458	3755115	7	3	7	4.0
4022039	1298948	160	47	1	4.0
1476977	298960	1993	178	1	3.0
4089598	4049679	33	24	1	4.0
347798	71233	1624	328	2	3.0
50313	1885823	75	16	1	2.0
282129	3466658	2112	146	1	3.0
2027108	1288145	5587	1172	1	2.0
4246791	1685418	135	160	1	3.0
1705901	4832319	447	83	5	3.0
2792558	465267	405	37	4	2.0
892942	3980118	78	7	1	3.0
4592948	2842036	101	30	2	3.0
666253	3859865	117	39	2	3.0
1085885	3249994	72	4	1	4.0
677383	992837	140	21	4	3.0
3342881	2991513	19	26	2	4.0
2470160	2376578	4363	103	1	3.0
4136077	4326697	249	159	1	3.0
2620326	3096337	198	33	1	3.0
4219851	4452053	11	5	1	4.0
3541384	4093604	49	16	1	4.0
818548	1986870	50	9	1	3.0
3541384	792078	49	16	1	3.0
4503643	2773280	715	8	1	3.0
4439586	3993784	6	2	1	4.0
166029	1451053	638	76	6	3.0
3705289	2390675	155	2	1	4.0
1256120	151639	71	39	11	3.0
3897103	4679230	501	85	1	3.0
546566	3155370	151	3	1	3.0
939655	988163	29	6	1	4.0
1918522	1284138	71	21	1	3.0
2343095	1566116	447	36	8	2.0
3542727	1161128	341	21	1	3.0
2241777	3875480	537	16	4	3.0
4398589	4425773	30	10	1	4.0
1036796	74801	24	11	4	3.0
2517313	3707076	291	60	2	2.0
3483869	2231543	261	17	4	3.0
1643116	1176912	162	82	1	3.0
4782926	3378686	62	14	1	3.0
2474070	516283	2421	102	3	2.0
2737233	1721000	1579	30	1	3.0
2074594	795370	201	123	1	3.0
69641	1765491	115	22	1	3.0
1666164	1008785	119	72	1	3.0
3990264	130860	150	233	1	3.0
3251806	117378	16	1	1	4.0
1530138	14355	7	2	26	4.0
414168	2103807	69	319	1	3.0
3770661	526818	248	106	2	3.0
2895989	963517	42	4	1	4.0
3753932	4405170	0	2	1	inf
2994391	3640267	6520	315	1	3.0
3454968	2306133	101	23	1	4.0
784020	1995352	18	17	1	4.0
1485102	2809290	22	3	1	5.0
1468729	1232112	6	3	1	4.0
100167	522934	128	13	1	3.0
4467395	3470762	14576	2084	101	2.0
2971546	404495	49	4	1	4.0
4666408	3362111	95	19	1	4.0
4448424	3890493	345	6	2	3.0
4105499	3657210	80	9	1	4.0
616444	4787139	48	11	5	3.0
716140	3355301	39	16	1	4.0
2288949	706652	201	9	1	3.0
2905030	2953486	415	23	1	4.0
338280	2506621	42	20	1	3.0
3073703	1886928	250	155	1	4.0
4467052	3518130	193	18	1	3.0
2191555	3263238	202	23	1	3.0
4133593	1196583	1900	161	1	2.0
4677936	105383	29	26	1	3.0
1295981	343935	353	47	3	3.0
3035632	405745	53	3	1	3.0
1756077	4317788	31	1	1	4.0
1525101	2015803	83	4	2	4.0
2319259	7826	3	18	1	inf
1743977	4823066	3	1	4	inf
1550614	2909787	11	8	1	4.0
2233775	110341	38	7	3	4.0
4537121	2864729	256	25	2	3.0
3785913	2830155	30	73	1	4.0
4139791	1432885	98	48	1	4.0
759179	4044428	60	61	7	3.0
3352799	2511977	378	227	50	2.0
1503399	1477667	253	9	31	3.0
1328761	432583	223	13	1	4.0
1682211	504314	894	16	1	3.0
360145	2207542	65	11	1	4.0
4651264	121464	332	34	1	3.0
4675096	2323518	43	8	2	3.0
2527345	4665971	32	14	1	4.0
2017931	4641258	112	4	1	4.0
722061	1748016	5	120	2	4.0
3291900	3322856	133	78	1	3.0
4135230	500315	128	10	1	3.0
2362521	1989966	168	15	1	3.0
1591435	3308888	31247	387	1	3.0
672662	4572162	194	86	1	4.0
2535669	2921736	168	7	6	3.0
4345228	3685681	131	5	1	4.0
4561901	2825231	105	21	1	4.0
2021728	2447232	103	46	1	4.0
4740851	1628025	68	69	1	3.0
1245874	4437727	93	17	1	3.0
2881345	2880930	2	1	60	3.0
195401	3080873	286	65	119	3.0
958615	4607358	2225	56	1	2.0
211416	3188192	26	136	1	3.0
3805651	1120157	15	27	2	4.0
3229211	2854824	365	96	3	3.0
4467052	4585425	193	18	1	3.0
3590015	3092822	500	50	1	3.0
3249522	517276	0	7	2	inf
2297796	2672775	611	44	1	3.0
4618437	897834	743	372	1	2.0
871353	3950891	39	92	2	5.0
355874	2066882	43	7	1	4.0
209406	4121515	63	10	1	3.0
3475096	880605	511	51	2	3.0
3974280	3768636	434	70	1	3.0
2465843	2300491	1215	160	1	3.0
4834958	1874692	473	133	2	2.0
4047135	366275	3	93	1	4.0
810410	871634	3	1	3	4.0
117193	72916	132	19	1	3.0
1653213	905197	229	480	1	3.0
791626	2481182	154	18	1	3.0
4624712	3610713	95	22	1	3.0
3481652	3985998	119	4	4	4.0
708118	2489726	524	38	2	3.0
1419471	4316823	171	4	1	3.0
68336	4035026	46	4	1	3.0
2411072	2104166	83	30	9	3.0
2527557	4613736	401	62	1	3.0
72653	82673	167	5	1	4.0
2650470	4297176	565	126	13	2.0
3480652	1053884	13	1	7	inf
2327303	2589882	11	6	1	4.0
1779321	1061358	107	26	1	3.0
266870	2790831	2	7	2	inf
164044	1252625	390	31	5	3.0
2074999	4030753	701	91	2	3.0
105104	4071488	52	4	1	4.0
961161	282920	1290	33	1	3.0
2513691	4314334	17485	244	2	3.0
1200841	4732583	142	10	1	3.0
1026384	4252377	185	14	1	3.0
3517175	1106981	43	2	1	4.0
4543063	295714	44	11	1	3.0
4255252	4699375	991	176	1	3.0
497234	401177	46	12	1	3.0
2832140	2461655	55	75	2	3.0
95783	3455329	345	23	21	3.0
4098498	2052502	92	24	1	3.0
743326	3492952	569	38	1	3.0
4256393	817302	23	4	2	3.0
593118	3734910	101	125	1	4.0
1074997	1678215	94	9	2	3.0
2907769	11796	68	17	2	3.0
4169303	297706	1967	93	2	3.0
285622	1318824	174	110	1	3.0
4754275	2481422	2058	75	1	3.0
991184	1787547	65	18	1	4.0
982421	2542573	322	76	1	3.0
4219880	1590830	5	2	1	5.0
3328066	1708829	223	17	1	3.0
3746387	4354901	90	26	1	4.0
3525425	2630709	2773	81	2	3.0
4170143	4793524	2900	202	2	3.0
600415	3502166	28	1	2	3.0
2492020	962704	58	400	5	3.0
292977	3084794	40	81	47	3.0
428973	1545065	48	3	1	3.0
4085773	32572	25	11	1	4.0
4701417	3449866	3855	305	1	3.0
4696238	1767930	1714	93	3	3.0
286533	3370742	65	18	3	3.0
2342779	2822797	24	2	1	4.0
3059060	2415174	855	78	1	4.0
3734655	4182892	226	41	16	3.0
631204	285872	1746	126	9	3.0
2216567	2750860	21	10	2	3.0
1133857	2026820	268	112	6	4.0
4474213	4198010	46	3	1	4.0
1680712	4147162	43	8	8	4.0
1258583	4409449	26	4	1	4.0
1953803	1490886	1	76	4	inf
3684390	3990366	241	20	5	2.0
4835579	3482788	429	60	10	3.0
1889910	3757854	140	59	1	3.0
159164	987098	77	11	1	3.0
775253	96328	80	44	1	3.0
749984	1064939	384	17	1	4.0
2304426	2195023	113	21	3	3.0
1801941	1623529	33	4	5	4.0
1165223	19696	94	42	1	4.0
4112632	1748828	452	138	3	3.0
103850	2608011	94	6	1	3.0
233829	410216	26	37	2	3.0
2778242	3926777	267	14	1	4.0
944460	4488733	458	72	1	3.0
2207325	2322556	1848	200	2	3.0
1420359	391047	361	56	22	2.0
3190994	1185534	1610	285	1	4.0
2111786	2600466	30	7	1	4.0
1032721	2697334	1005	20	2	3.0
176788	2792937	163	10	1	3.0
2891943	2742107	73	4	1	3.0
4162561	197441	1357	216	1	3.0
3290431	4543662	1379	65	2	3.0
3643227	1604437	80	11	1	4.0
3588782	2805858	137	15	10	2.0
2120470	3307952	559	67	2	3.0
1893666	2801536	112	47	1	3.0
1331164	1429615	27	3	1	4.0
4505009	1041364	526	46	1	3.0
2677761	803843	139	30	1	3.0
2093446	3517116	78	4	1	3.0
3369932	1384753	1420	45	1	3.0
4680455	3335906	11	4	1	3.0
2093169	3202064	81	10	3	4.0
837658	362443	11	3	1	4.0
22919	4629575	1075	28	4	2.0
3605729	1394204	51	33	1	4.0
2021578	4469951	24	2	2	4.0
4866446	1939601	855	65	1	2.0
2390597	2942818	92	30	1	4.0
4755384	1732842	83	27	3	4.0
4754275	3674263	2058	75	1	3.0
4291779	2330857	9	1	1	inf
3458017	3864317	30	2	1	4.0
302379	4792962	24	10	1	4.0
3305627	2686489	99	35	2	3.0
4191827	4639671	10	3	1	4.0
4743763	652928	51	18	1	3.0
1115742	1946053	80	11	1	3.0
4705611	2060842	82	215	1	3.0
1533762	1568924	1567	110	1	3.0
3063973	470453	635	202	2	3.0
3656866	4144271	22	7	1	2.0
3449193	3774730	216	317	1	3.0
4219307	2642342	12	6	1	5.0
2131866	4434618	135	12	1	3.0
2532185	1331864	1	72	1	inf
2527345	1477661	32	14	1	3.0
1532562	2395198	320	8	2	3.0
1730094	3676345	621	71	1	3.0
2681739	386063	271	65	4	3.0
4401406	2576892	2141	381	10	2.0
2059958	4796448	46	10	1	4.0
3655779	4187583	738	61	2	3.0
310278	574515	558	37	4	3.0
4846041	2750066	177	7	2	4.0
838349	713039	784	256	13	3.0
4008397	124083	229	23	1	3.0
3672710	1736381	33	9	1	4.0
273706	3984990	43	2	4	3.0
4318206	3994534	13123	251	2	3.0
1069515	3769109	37	1	1	4.0
1842133	184000	10	5	5	4.0
3106877	4523157	1266	51	1	3.0
1959817	4312425	156	33	3	4.0
1329128	3789715	125	33	1	3.0
316542	3326494	91	33	1	4.0
4562203	2658951	308	86	1	3.0
974518	2712976	1365	81	1	2.0
2924135	3452511	13	6	21	3.0
1730742	1053651	224	88	1	3.0
4140343	3993505	2177	60	2	3.0
950719	2626949	62	44	2	3.0
2080275	554171	199	25	72	3.0
3714465	1984583	364	98	1	3.0
3437784	4573885	577	94	1	3.0
3041416	4521790	229	29	1	3.0
2404874	3897397	74	42	8	2.0
2884489	2762781	43	8	2	3.0
2853692	3449593	14	3	3	4.0
4779576	1127689	132	15	1	4.0
1357975	2572600	171	59	1	3.0
1068692	1607613	115	12	1	3.0
244334	1858155	2366	663	1	3.0
1614034	1897603	444	466	1	3.0
301766	4857228	8	2	34	3.0
435216	1695874	463	16	1	3.0
2623190	3220309	33	2	1	3.0
4605319	3234889	90	38	1	4.0
302204	2938008	3449	366	2	3.0
2181281	2744310	1	2	1	4.0
2881425	4329541	5273	102	1	3.0
230512	1593742	113	15	2	4.0
3792916	4210598	63	16	1	3.0
941870	3490964	19	33	1	3.0
2958752	2188231	935	78	2	3.0
1737846	3393313	32	467	2	3.0
964645	2221543	6	2	1	4.0
4316509	829544	76	6	1	3.0
1304483	3250715	24	3	2	4.0
2044050	4155979	225	67	4	2.0
2651023	381818	2189	140	8	3.0
2657370	2982892	98	14	1	3.0
2708609	2304130	28	4	2	3.0
1511940	1445659	35	1	1	4.0
2437017	2388666	66	82	1	4.0
4182550	2971372	25	2	2	4.0
2837948	2551386	1320	83	1	3.0
905729	284036	238	57	1	3.0
4568837	1891444	79	1	1	3.0
3669648	2323868	163	23	2	3.0
2225345	1026543	30	7	8	3.0
74361	2549341	16	1	6	4.0
1869715	249718	330	45	1	3.0
1957335	293605	60	28	2	3.0
1896069	1155908	1218	96	1	2.0
497748	2773129	409	181	1	3.0
2228121	4507108	42	6	5	3.0
4658252	4104661	151	21	1	2.0
2928131	3692079	1	8	1	inf
681618	4189837	8790	75	1	3.0
1965328	2769919	14	52	1	inf
1924697	3587918	403	20	1	3.0
1725968	3902663	35	10	2	3.0
1070217	4185687	396	6	1	4.0
4812704	3856640	971	54	1	4.0
855051	3675919	357	26	1	4.0
75239	1957741	27	11	3	3.0
506825	2189327	6	1	1	4.0
2015027	3645909	135	29	15	3.0
1980375	717229	318	54	1	4.0
120887	1770199	61	22	3	3.0
963193	1525493	230	80	1	3.0
4004339	363321	6086	153	1	3.0
3776460	1943135	99	12	1	4.0
2291145	204414	3037	221	7	3.0
3887557	4542310	99	17	1	3.0
1298248	465159	248	69	3	3.0
3134056	3943023	359	188	1	3.0
3609981	1202478	39	60	1	3.0
74116	3242360	27	18	11	3.0
1732261	4852788	98	19	4	3.0
3810577	4290996	45	2	1	4.0
1653213	1466614	229	480	6	3.0
4262601	2099685	13	10	2	4.0
3703479	1250147	395	48	1	3.0
1111716	4357439	525	53	1	4.0
1375942	4609879	34	2	2	2.0
1672698	3559139	452	35	1	3.0
276502	1476088	2245	30	2	3.0
3985383	3669485	70	43	1	3.0
49447	3370855	5	1	1	4.0
745911	2283036	357	38	1	3.0
981870	836843	2	1	1	4.0
1168451	431981	41	16	1	3.0
1125390	1961192	124	21	1	3.0
1213507	2311732	115	107	1	3.0
4735272	1070171	181	10	16	3.0
2354581	4587545	319	72	1	3.0
1005318	4310088	454	66	1	2.0
452761	821123	3160	59	7	3.0
3943224	2266205	227	29	1	3.0
2947840	392911	9	136	3	4.0
1431053	3901650	35	2	1	4.0
1734237	3191148	200	12	1	2.0
2824221	571961	219	39	1	3.0
4559961	514990	49	14	2	3.0
1460879	1316478	6	4	1	4.0
4638689	3899558	22	2	1	4.0
2187970	2510168	7	141	7	inf
291439	4503040	1	1	3	inf
3294020	1299433	73	65	1	3.0
4371496	4583011	960	105	1	3.0
2636873	4829466	76	2	1	2.0
455376	3932330	191	40	4	3.0
1884735	2618307	471	20	1	4.0
2173828	1437956	630	75	1	3.0
2004934	3362954	181	14	1	3.0
2057710	560374	9	21	1	inf
3125148	3296109	123	25	15	2.0
2385076	1287584	106	327	1	4.0
1755280	2894028	95	19	19	3.0
2073485	1323583	62	80	1	4.0
993120	4033049	55	8	13	3.0
80085	4190190	2925	75	5	3.0
1727464	3306180	1073	267	1	3.0
1017747	3348212	34	160	2	3.0
1959817	353980	156	33	3	3.0
3318449	3646901	968	21	1	3.0
3562621	4864499	85	76	1	3.0
1496402	3708951	154	18	1	4.0
1909746	273090	267	159	2	3.0
2490873	545940	46	13	37	3.0
3258398	3679580	55	25	1	3.0
3649287	1568522	184	10	1	3.0
499918	3446525	311	36	5	3.0
56142	1098079	58	17	1	3.0
1554382	1134311	214	57	3	3.0
307250	1429281	35588	919	2	2.0
1205756	4382751	389	29	1	3.0
4721904	4061611	436	31	1	2.0
2388294	724607	542	25	15	3.0
3510952	2963089	267	10	5	2.0
4233089	1538450	38	21	2	4.0
685003	3216238	88	29	1	3.0
3926490	4000855	1187	132	1	2.0
3343239	2735770	39	44	1	3.0
1195333	205952	431	64	1	3.0
1325133	4600515	98	563	1	3.0
3254968	1817923	313	33	1	3.0
4846041	3951307	177	7	18	3.0
3650069	167649	4118	217	1	3.0
4401835	3467205	1738	204	3	2.0
4493578	4378905	248	70	1	3.0
3604304	4863701	114	89	2	3.0
3452436	1726479	530	70	5	3.0
3249522	2742824	0	7	2	inf
1548569	3501359	6	1	1	5.0
3643227	499742	80	11	1	4.0
2995367	4231874	74	11	1	3.0
1596160	3856108	999	82	1	3.0
1879940	2001158	5	9	1	4.0
694996	4153846	120	35	1	3.0
1010658	1796460	315	200	4	2.0
2549432	1735274	269	413	1	4.0
1158447	3305127	48	3	1	4.0
781273	3423866	149	17	1	3.0
1255199	3962567	285	55	1	3.0
4360563	3495585	11	2	1	4.0
974529	2241623	111	20	1	3.0
3062358	4333655	17	5	1	4.0
4445293	3947445	7	1	1	4.0
848387	386532	39	1	2	4.0
2408110	2473852	64	7	121	2.0
4291779	4464850	9	1	1	inf
1053177	3966220	3060	293	1	4.0
785590	1132728	1203	27	2	3.0
848387	1275562	39	1	2	4.0
2617263	1663695	80	21	1	4.0
900442	2360342	309	81	2	3.0
2957039	504183	1253	99	1	4.0
685920	1186522	2	4	2	4.0
1781080	1943008	176	45	1	3.0
3830070	439880	392	88	1	3.0
3940115	4786193	462	111	1	3.0
929698	232017	14	67	1	4.0
2906472	4215023	3865	199	2	2.0
2804522	1940384	103	22	1	3.0
1190779	3706714	68	11	2	4.0
4721904	1980788	436	31	2	2.0
1710014	1648655	133	10	6	3.0
4519448	2479756	221	72	2	3.0
1679441	1026883	105	119	1	3.0
2607460	2667728	2	5	1	5.0
2088561	3871055	908	20	2	3.0
2142205	1655464	53	25	1	4.0
2039260	2433537	197	95	1	3.0
1138998	3787636	126	17	3	3.0
2292499	524028	34	11	20	3.0
2648270	4196227	198	43	1	3.0
854480	1356954	110	4	1	4.0
3755985	2434662	119	18	1	4.0
3918618	841464	3785	299	1	2.0
946775	409423	1072	110	3	3.0
529610	4841854	91	14	3	3.0
877	2340508	2455	258	1	3.0
165858	3495989	1963	177	1	3.0
516562	199536	812	70	5	2.0
192023	4475281	53	45	12	3.0
2399146	4255092	253	139	2	3.0
2041217	1193012	70	50	2	3.0
2068128	3020199	2000	76	4	2.0
3518693	3537449	262	67	1	3.0
3581291	3878778	535	83	2	3.0
2235851	4648762	691	90	1	3.0
3381720	967238	70	60	1	3.0
646593	863309	80	17	1	3.0
1294456	1473663	147	53	3	3.0
3704076	1762736	226	11	1	3.0
1493489	2677818	17513	523	1	3.0
2168828	703125	246	14	1	3.0
2817817	4750408	147	11	1	4.0
47168	799397	49	1	4	4.0
4774700	557310	238	41	1	4.0
512486	2907270	48	14	2	4.0
3125762	3474074	8285	254	1	3.0
3811516	3749955	111	28	1	3.0
360874	4422823	4585	124	1	3.0
1018632	1480181	0	5	140	inf
1725968	3436962	35	10	1	4.0
3538667	1080422	2251	67	1	3.0
1701884	2093975	254	13	1	3.0
824281	766653	172	74	3	4.0
1499173	1644382	70	4	1	4.0
577206	3477697	187	31	18	3.0
1190779	4266647	68	11	6	4.0
2948615	1916930	827	124	2	2.0
551195	999428	138	100	1	4.0
2544561	3919304	74	48	4	3.0
4450578	2127019	5	4	3	5.0
3256668	1181169	540	85	1	3.0
4485894	874712	183	12	2	2.0
2039022	4553743	342	417	1	3.0
4291779	1476195	9	1	6	inf
3530678	3102380	36	3	1	3.0
5908	3085177	438	80	1	4.0
4195192	566631	371	14	1	4.0
1515312	4005772	143	31	1	4.0
2818749	2593550	3797	92	18	3.0
1592175	4449417	222	15	1	3.0
2595727	2810489	1928	125	3	3.0
1520236	3083655	213	97	1	4.0
2408877	3145274	84	7	2	3.0
2709652	1568641	3238	335	1	3.0
4451491	3694711	8836	817	4	3.0
991222	2425634	307	165	1	3.0
3396738	2866225	253	21	1	2.0
2960291	2717482	1664	66	1	2.0
1191030	2028370	194	13	2	3.0
1869176	1266157	215	29	2	3.0
3585551	1990647	266	20	2	3.0
4843044	4054792	133	67	2	3.0
4777191	3177506	3938	86	1	2.0
213222	3357381	0	39	1	inf
1411176	1127670	269	72	1	3.0
1534008	3505883	1	1	1	4.0
2206931	2023707	34	93	5	4.0
1221217	1712977	29	37	3	2.0
638091	3739327	83	10	1	4.0
1984826	78928	479	2	1	3.0
470458	44123	126	15	2	2.0
2462036	2863535	197	75	1	4.0
1782247	3230762	101	42	2	3.0
4705162	730952	2	6	1	inf
339838	4825113	186	65	1	3.0
2502145	2540275	39	19	1	3.0
914350	2980105	256	80	1	3.0
2351041	1092320	127	3	2	2.0
3645402	3530472	7401	153	2	3.0
1332811	3511967	68	63	1	3.0
4597927	4349397	54	6	1	4.0
2426698	2548820	332	42	1	3.0
2497238	2419720	2806	251	1	3.0
155547	1073956	350	34	1	3.0
3615916	1472910	162	61	1	3.0
200776	1442211	235	11	1	4.0
2338082	2373463	3081	138	1	2.0
762948	4270754	387	179	1	3.0
4792793	184320	60	14	1	4.0
272633	660610	1659	382	1	3.0
807776	3467282	94	3	6	2.0
4175568	3807975	33	184	1	4.0
2365051	4484274	436	118	1	3.0
2009615	907834	7	51	1	4.0
3290856	2085722	80	21	7	3.0
2884705	1249797	10233	649	1	3.0
3550346	2281353	32	12	16	4.0
2791201	1494493	71	19	1	3.0
921758	4375823	28	22	1	4.0
4843705	1948667	7	14	1	4.0
2995031	3810719	70	8	1	4.0
2663965	2215065	54	20	1	3.0
4520526	3091201	1224	33	18	2.0
1038421	1248431	2	2	2	4.0
2197063	1216526	852	146	1	4.0
1458156	1535999	93	7	4	3.0
1790151	2491706	591	87	2	3.0
1989958	3330135	113	29	1	3.0
3229155	1071724	59	23	1	4.0
1282841	1533834	1081	57	1	3.0
2711439	1213687	40	81	6	3.0
3999673	959663	60	6	1	3.0
293665	398155	1817	139	1	2.0
4221988	4510545	248	15	13	3.0
4375657	1733278	100	71	9	3.0
